Month,Year,Return,,,,,
5,1888,0.0296,,,,,
6,1888,-0.0158,,,,,
7,1888,0.0175,,,,,
8,1888,0.0250,,,,,
9,1888,0.0282,,,,,
10,1888,-0.0139,,,,,
11,1888,-0.0287,,,,,
12,1888,-0.0159,,,,,
1,1889,0.0592,,,,,
2,1889,0.0269,,,,,
3,1889,-0.0056,,,,,
4,1889,0.0013,,,,,
5,1889,0.0560,,,,,
6,1889,0.0202,,,,,
7,1889,-0.0170,,,,,
8,1889,0.0166,,,,,
9,1889,0.0149,,,,,
10,1889,-0.0149,,,,,
11,1889,-0.0060,,,,,
12,1889,-0.0144,,,,,
1,1890,0.0397,,,,,
2,1890,-0.0081,,,,,
3,1890,-0.0044,,,,,
4,1890,0.0240,,,,,
5,1890,0.0328,,,,,
6,1890,-0.0041,,,,,
7,1890,-0.0040,,,,,
8,1890,-0.0553,,,,,
9,1890,-0.0250,,,,,
10,1890,-0.0421,,,,,
11,1890,-0.0472,,,,,
12,1890,-0.0198,,,,,
1,1891,0.0687,,,,,
2,1891,0.0036,,,,,
3,1891,-0.0266,,,,,
4,1891,0.0246,,,,,
5,1891,0.0114,,,,,
6,1891,0.0074,,,,,
7,1891,-0.0006,,,,,
8,1891,0.0373,,,,,
9,1891,0.0983,,,,,
10,1891,0.0033,,,,,
11,1891,0.0008,,,,,
12,1891,0.0339,,,,,
1,1892,0.0484,,,,,
2,1892,0.0051,,,,,
3,1892,0.0412,,,,,
4,1892,0.0150,,,,,
5,1892,0.0033,,,,,
6,1892,-0.0021,,,,,
7,1892,-0.0231,,,,,
8,1892,0.0045,,,,,
9,1892,-0.0217,,,,,
10,1892,0.0234,,,,,
11,1892,-0.0255,,,,,
12,1892,-0.0198,,,,,
1,1893,-0.0153,,,,,
2,1893,-0.0261,,,,,
3,1893,-0.0091,,,,,
4,1893,0.0161,,,,,
5,1893,-0.0734,,,,,
6,1893,-0.0190,,,,,
7,1893,-0.0651,,,,,
8,1893,0.0209,,,,,
9,1893,0.0333,,,,,
10,1893,0.0204,,,,,
11,1893,0.0467,,,,,
12,1893,-0.0180,,,,,
1,1894,0.0109,,,,,
2,1894,0.0321,,,,,
3,1894,0.0634,,,,,
4,1894,0.0170,,,,,
5,1894,-0.0336,,,,,
6,1894,-0.0099,,,,,
7,1894,-0.0170,,,,,
8,1894,0.0123,,,,,
9,1894,0.0055,,,,,
10,1894,0.0002,,,,,
11,1894,0.0038,,,,,
12,1894,0.0090,,,,,
1,1895,-0.0079,,,,,
2,1895,-0.0103,,,,,
3,1895,0.0038,,,,,
4,1895,0.0030,,,,,
5,1895,0.0439,,,,,
6,1895,0.0089,,,,,
7,1895,0.0212,,,,,
8,1895,0.0321,,,,,
9,1895,0.0094,,,,,
10,1895,-0.0114,,,,,
11,1895,-0.0306,,,,,
12,1895,-0.0423,,,,,
1,1896,0.0058,,,,,
2,1896,0.0605,,,,,
3,1896,-0.0124,,,,,
4,1896,0.0274,,,,,
5,1896,0.0136,,,,,
6,1896,0.0001,,,,,
7,1896,-0.0614,,,,,
8,1896,-0.0533,,,,,
